코퍼스	개체	문서	앵커	걸린신호	심볼	종류	코드경로	조각머리	판정	근거
ditto	01M02QWRBF98EEHTX9GZF0WK65	rebuild/knowledge/adr-authoring.ts	L63	attached	createAdrSkeleton	function	rebuild/knowledge/adr-authoring.ts	/**	참	새 ADR 스켈레톤 파일을 어떻게 만들고 언제 던지는지 — 그 함수의 계약이다
ditto	01M02QWRCB6FKNQSXX7T9WQDC8	rebuild/memory/auto-context.ts	L5	attached	autoMemoryContext	function	rebuild/memory/auto-context.ts	/**	참	자동 메모리 맥락 진입점이 스위치가 꺼졌을 때 왜 `undefined` 인지 — 그 함수의 계약이다
ditto	01M02QWRCZZF6DZ660D29AEWJD	rebuild/memory/projection.ts	L6	attached	visibleHeads	function	rebuild/memory/projection.ts	/**	참	읽기 가시성 규칙 하나(승인된 head 중 secret 아닌 것) — 그 함수가 재는 것이다
ditto	01M02QWREEZYR2E3R75A19MMJY	rebuild/schemas/adr-id.ts	L34	attached	ADR_ID_EXTRACT_RE	variable	rebuild/schemas/adr-id.ts	/**	참	이 정규식이 무엇을 뽑고 왜 8자리 갈래가 먼저인지 — 그 상수 자체다
ditto	01M02QX5W2AH7QPE9RN5FT3G67	src/acg/fitness/fitness-runner.ts	L118	attached	scheduleDecision	function	src/acg/fitness/fitness-runner.ts	/** Should this function run for this trigger/context? (ADR-0004 cost policy.) */	참	이 함수가 이 트리거에서 돌아야 하는가 — 그 함수가 내리는 판정이다
ditto	01M02QX5XR3TCDWAA658XWQ7J3	src/cli/commands/architecture.ts	L54	attached	architectureCommand	variable	src/cli/commands/architecture.ts	/**	참	`ditto architecture propose` 가 무엇을 내고 무엇을 안 덮는지 — 그 명령 정의다. ★ `const` 래퍼가 회복된 자리
ditto	01M02QX5ZX8CANWCHSFDBZBJ0F	src/cli/commands/coverage.ts	L806	attached	coverageTaxonomyDiscoverCommand	variable	src/cli/commands/coverage.ts	/**	참	`ditto coverage discover` 가 무엇을 소비하고 어떤 게이트를 지나는지 — 그 명령 정의다. ★ `const` 래퍼
ditto	01M02QX60FMNNRP4XVKC4SFY68	src/cli/commands/deep-interview.ts	L53	attached	BARE_MODEL_POLICY	variable	src/cli/commands/deep-interview.ts	// actual invocation is host-delegated (ADR-0001) and absent in the bare CLI, so the seam	참	맨 CLI 의 상대 모델 정책 기본값이 무엇이고 왜 host_absent 로 내려가는지 — 그 상수다. ★ `const` 래퍼
ditto	01M02QX61CX5SX674EC31WCZQ9	src/cli/commands/deep-interview.ts	L749	attached	dissentBriefsCmd	variable	src/cli/commands/deep-interview.ts	// (ADR-0001); the host spawns intent-dissent-opponent agents and feeds verdicts back thro	참	`dissent-briefs` 가 무엇을 열거하고 모델을 안 부른다는 것 — 그 명령 정의다. ★ `const` 래퍼
ditto	01M02QX61P6PT6BA7PVB5PTJPV	src/cli/commands/deep-interview.ts	L849	attached	semanticRecordCmd	variable	src/cli/commands/deep-interview.ts	// degrades to host_absent (ADR-0018). ADVISORY — this NEVER blocks finalize (non-blocking	참	`semantic-record` 가 무엇을 소비하고 어디에 적는지 — 그 명령 정의다. ★ `const` 래퍼
